0;be locate in;bar;0.95093
000;be locate in;south korea;0.95804
000 tonne;be mostly locate in;central alberta;0.95093
009;be locate in;the college of education building;0.95804
033 border crk;be locate in;border creek;0.95804
040 border crk;be locate in;border creek;0.95825
051 sub;be locate in;winter springs;0.95804
0774 334522;be locate in;garibaldi square;0.95093
08;will take place in;antwerp;0.96000
08;will take place in;france;0.95804
09;will take place in;charleston;0.95804
09;will take place in;monte-carlo;0.96000
1;must be locate in;the midwest;0.95804
1;be locate in;paris;0.95804
1;be a member of;the baltimore city council;0.96578
1;be locate in;rutherford county;0.95804
1;be the spouse of;a united states citizen;0.95993
1;be a member of;power .org;0.96578
1;must be locate in;canada;0.95804
1 and 2;be locate in;fuse;0.95093
1 apartment;be locate in;ground floor;0.95093
1 gang;be only locate in;large city;0.95093
1 headquarters;be locate in;chesterbrook;0.96000
1 house;be locate in;a security system;0.95093
1 house;be locate in;kashiwa;0.96000
1 position;will be locate in;nashville;0.95804
1,270;be locate in;michigan;0.95804
1,400;be locate in;germany;0.95804
1,980;be locate in;michigan;0.95804
1-isoform;be locate in;caveola;0.95093
1.24 million of these;be locate in;europe;0.95804
1.308m;have be allocate in;2008-09;0.95093
1/2 bath;be locate in;second bedroom;0.95093
1/3;be locate in;europe;0.95804
10 college avenue ne;be locate in;heritage hill;0.95804
10 prospect avenue se;be locate in;heritage hill;0.95804
10 million;be be allocate in;budget 2009;0.95093
10 of those;be locate in;the united states;0.95804
10 private school;be locate in;bremerton;0.95804
10-week session;will take place in;lower manhattan;0.95093
100 % natural;be locate in;cancun;0.95804
100 14th st;be locate in;frederick;0.95804
100 border crk;be locate in;border creek;0.95804
100 king;be locate in;alexandria;0.95804
100 mile house;be locate in;central british columbia;0.95093
100070 73rd ave;be locate in;mecca;0.95804
101;be locate in;brooklyn;0.95804
102;be locate in;managua;0.95804
10264 3rd ave;be locate in;hesperia;0.95804
103 college avenue se;be locate in;heritage hill;0.95804
1058 5th ave;be locate in;chula vista;0.95804
106 n main st;be locate in;prosper isd;0.95804
106 prospect avenue se;be locate in;heritage hill;0.95804
10608 wellington st;be locate in;cambridge;0.95804
107 saxapahaw run;be locate in;briar chapel;0.95804
108 center st;be locate in;frostburg;0.95804
108 saxapahaw run;be locate in;briar chapel;0.95804
109 14th st;be locate in;downtown;0.95804
10m;be allocate in;october 2001;0.95093
10th grade school;locate in;conroe;0.96000
